AREA,ReturnPeriod,AGG_RES_GU,AGG_RES_BLDG_GU,AGG_RES_CONT_GU,AGG_COM_GU,AGG_Com_Bldg_GU,AGG_Com_Cont_GU,AGG_IND_GU,AGG_Ind_Bldg_GU,AGG_Ind_Cont_GU,AGG_COMTOTAL_GU,AGG_AGR_GU,AGG_AUTO_GU,AGG_TOTAL_GU,AGG_RES_GR,AGG_RES_BLDG_GR,AGG_RES_CONT_GR,AGG_COM_GR,AGG_IND_GR,AGG_COMTOTAL_GR,AGG_AGR_GR,AGG_AUTO_GR,AGG_TOTAL_GR,AGG_RES_INS,AGG_RES_BLDG_INS,AGG_RES_CONT_INS,AGG_COM_INS,AGG_IND_INS,AGG_COMTOTAL_INS,AGG_AGR_INS,AGG_AUTO_INS,AGG_TOTAL_INS
CZE_12,10,764038.8653,531019.0926,233161.2807,2324201.509,1257131.749,879655.8959,165043.3198,62837.66687,68004.93985,2487660.348,0,38654.75876,3290231.913,751070.0175,526921.8773,225193.8908,2070308.249,139061.694,2204438.24,0,24744.8721,2983368.314,385668.2033,250511.406,134756.2287,1108610.112,70176.46949,1181890.302,0,13744.93749,1581236.967
CZE_12,20,972234.7248,674845.7834,296491.5789,2941602.551,1590057.836,1117442.38,208657.0044,79560.46936,87053.93789,3141648.335,0,48743.6257,4153110.185,956995.1061,669743.5882,287724.6926,2627639.981,177043.4295,2786115.654,0,32088.43451,3770222.916,547184.2367,355585.8261,190837.7151,1594756.083,101206.1067,1689014.031,0,19475.35539,2251007.456
CZE_12,40,1236184.778,865978.6626,378458.2967,3754628.789,2036514.03,1432955.844,271637.6731,103426.6331,110807.9503,4016286.627,0,60710.32331,5314086.635,1222810.875,859364.1479,367833.4756,3358667.209,227704.1185,3571536.499,0,39092.64355,4825156.812,685836.5166,448046.3612,239427.5952,1989089.18,126969.181,2112702.387,0,24398.92324,2829259.369
CZE_12,50,1355234.674,938584.1626,412455.0918,4125493.198,2233687.336,1551769.401,295115.9449,112548.56,122366.2601,4404059.037,0,63568.04818,5829370.832,1333836.064,931685.4933,399914.3022,3663125.07,255475.5095,3906374.841,0,42291.4279,5286925.116,730551.6213,473993.3266,256897.8952,2126537.024,137373.6124,2260081.857,0,25990.47797,3018000.115
CZE_12,100,10707728.92,7356114.317,3303038.064,29276978.59,16152225.21,11677541.1,734560.5761,269191.1192,342454.9771,29808786.35,0,78193.48198,42373679.93,10625019.52,7336159.561,3282413.067,28618954.89,686002.7285,29136809.41,0,50362.89897,41113899.42,921995.4756,596455.6154,322725.198,2666741.154,171318.631,2819636.893,0,32000.83765,3763064.533
CZE_12,250,12846934.41,8812161.709,4056709.945,42134926.32,22964345.99,16537933.77,1145831.672,434719.3299,461810.846,42886224.65,0,95667.60157,54601941.37,12794187.73,8790463.31,3998024.389,40469027.77,1067097.666,41296257.33,0,62862.39082,53231010.2,7765278.61,5031763.139,2783286.557,22699753.39,486049.086,23045354.62,0,42039.8342,30392132.31
CZE_12,500,15910178.41,11070080.17,4882011.782,56265292.7,30864252.36,21816215.14,1404810.509,523822.9781,636494.0084,57986662.92,0,110304.7891,74862252.67,15787305.36,11017543.69,4807143.387,53957766.88,1343031.414,55078931.99,0,75911.50101,72890705.94,9113722.742,5869710.216,3124581.274,27396295.14,642050.316,27918630.35,0,49090.3539,36372310.09
CZE_12,1000,22317458.65,15379269.49,6803991.159,63662442.65,35289727.08,24248332.34,1718524.798,662996.1369,761567.778,65141971.16,0,120220.9157,87635918.86,22146885.71,15346400.26,6708428.069,61951618.91,1613438.479,63438870.58,0,81245.63294,84565663.44,11197577.34,7132163.457,4065413.886,36177361.64,723088.6307,37076975.23,0,55617.52488,51934514.39
CZE_12,2500,26747733.52,18816667.84,8129440.721,84542849.44,47287157.31,31571147.64,2182230.659,812555.5663,1013763.989,86803538.72,0,133969.5557,113606460,26549754.44,18728168.47,8027754.044,82323954.46,2101805.807,84515624.08,0,88131.62148,111096148.5,16502779.08,10583929.97,5918849.11,43887480.28,1042021.662,44643930.88,0,61692.13624,60802170.97
CZE_12,5000,30140000.99,21346491.54,8793509.448,103052145.4,57428480.72,38728243.83,2634669.323,931096.3815,1202828.692,105118265,0,137808.6522,134447163,30057354.8,21305831.29,8751523.515,100609720.8,2497725.098,102627797.1,0,103934.5737,129259261.5,21740263.26,14441266.26,7298997.004,67491584.52,1619428.141,69111012.66,0,72754.20029,91294414.86
