CantonCode,CantonName,BuildingType,DwellingsPerBuilding,NumberOfFloors,YearBuilt,BuildingCount
01,Aargau,SingleFamily,6to9Units,5Floors,1981to1990,0
01,Aargau,SingleFamily,6to9Units,5Floors,1991to2000,0
01,Aargau,SingleFamily,6to9Units,5Floors,2001to2005,0
01,Aargau,SingleFamily,6to9Units,5Floors,2006to2013,0
01,Aargau,SingleFamily,6to9Units,6Floors,1918AndBefore,0
01,Aargau,SingleFamily,6to9Units,6Floors,1919to1945,0
01,Aargau,SingleFamily,6to9Units,6Floors,1946to1960,0
01,Aargau,SingleFamily,6to9Units,6Floors,1961to1970,0
01,Aargau,SingleFamily,6to9Units,6Floors,1971to1980,0
01,Aargau,SingleFamily,6to9Units,6Floors,1981to1990,0
01,Aargau,SingleFamily,6to9Units,6Floors,1991to2000,0
01,Aargau,SingleFamily,6to9Units,6Floors,2001to2005,0
01,Aargau,SingleFamily,6to9Units,6Floors,2006to2013,0
01,Aargau,SingleFamily,6to9Units,7Floors,1918AndBefore,0
01,Aargau,SingleFamily,6to9Units,7Floors,1919to1945,0
01,Aargau,SingleFamily,6to9Units,7Floors,1946to1960,0
01,Aargau,SingleFamily,6to9Units,7Floors,1961to1970,0
